               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.057555,            0.018976,                   0,             0.72056,             0.87697,             0.80609,             0.30092,            0.052897,            0.017257,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.062682,            0.017519,                   0,             0.88829,             0.88801,             0.90274,             0.39091,            0.049985,            0.017015,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.05719,            0.017619,                   0,             0.90954,             0.91871,             0.92838,             0.43946,            0.044954,             0.01723,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.054301,            0.021196,                   0,             0.90444,              0.9128,             0.92921,             0.43423,            0.045579,            0.017067,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.054199,            0.018431,                   0,             0.91602,              0.8934,             0.92227,             0.42782,            0.050173,            0.016701,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.05695,            0.016269,                   0,             0.93296,              0.9183,             0.93498,              0.4407,            0.046632,            0.016798,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.053076,            0.017008,                   0,             0.84601,              0.8934,             0.91272,             0.35263,            0.047177,            0.016855,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.058239,            0.017945,                   0,             0.81109,              0.7192,             0.84799,             0.31448,            0.052096,            0.016428,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.059024,            0.017217,                   0,              0.9454,             0.90355,             0.93997,             0.45706,            0.045346,            0.016336,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.053388,             0.01791,                   0,             0.95211,             0.90833,             0.95616,             0.49134,            0.044016,            0.016265,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.055068,            0.016512,                   0,             0.95159,               0.898,             0.94159,             0.42952,            0.052003,            0.015937,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.057922,            0.019361,                   0,             0.94177,             0.90303,             0.92239,             0.35869,             0.04648,            0.016289,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.051225,            0.017327,                   0,             0.92499,             0.93898,             0.95405,             0.49344,            0.042458,            0.016101,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.052499,            0.017664,                   0,             0.93658,             0.90863,             0.95112,             0.43433,            0.045779,            0.016187,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.055072,            0.017474,                   0,             0.96256,             0.91348,             0.95429,             0.48837,            0.046069,             0.01598,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.053505,            0.018085,                   0,             0.96243,             0.92386,             0.96348,             0.47155,            0.042253,            0.016004,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.048143,            0.017413,                   0,             0.78141,              0.8934,              0.8581,             0.32267,            0.047444,            0.016151,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.058387,             0.01695,                   0,             0.82417,             0.85657,             0.82058,             0.22608,            0.050493,            0.016116,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.056854,            0.017936,                   0,             0.89244,              0.8934,             0.93679,             0.45297,            0.044277,            0.015845,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.049118,            0.017288,                   0,             0.91205,             0.80711,             0.93355,             0.48353,            0.046358,            0.015753,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.054718,            0.015979,                   0,              0.9105,             0.93909,             0.96121,             0.45193,            0.043885,             0.01562,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.052485,            0.016889,                   0,             0.93479,             0.94924,             0.96625,             0.48499,            0.043191,            0.015762,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.049754,            0.015601,                   0,             0.95825,             0.93401,             0.96153,             0.50415,            0.044199,            0.015504,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.056972,             0.01489,                   0,             0.84578,             0.86802,             0.89616,             0.34431,            0.053147,            0.015713,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.057581,            0.015441,                   0,             0.92116,             0.94924,             0.95609,              0.5065,            0.043044,            0.015478,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.049761,             0.01956,                   0,             0.93027,             0.94924,             0.95766,             0.51564,              0.0413,            0.015645,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.051443,            0.019164,                   0,              0.9538,             0.94321,             0.96845,             0.50429,            0.046522,            0.015322,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.054364,            0.016323,                   0,             0.92573,             0.94911,             0.95881,             0.52572,             0.04306,            0.015541,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.047564,            0.016945,                   0,             0.92557,             0.94924,             0.95575,             0.53913,            0.039773,            0.015396,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.049441,            0.014815,                   0,             0.96337,             0.93909,              0.9687,             0.48389,            0.047101,            0.015418,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.053349,            0.016073,                   0,             0.93759,             0.92386,             0.94716,             0.48582,            0.044172,            0.015284,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.049724,            0.015838,                   0,             0.93459,             0.94416,             0.95583,             0.50449,            0.039759,            0.015202,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.046819,             0.01806,                   0,             0.95269,             0.92386,              0.9528,             0.52421,            0.039726,            0.015224,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.045335,            0.015079,                   0,             0.97217,             0.90863,             0.95973,             0.45988,            0.043577,            0.015139,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.049683,             0.01604,                   0,             0.93362,              0.9282,             0.94886,             0.55448,            0.039074,            0.015059,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.047752,            0.017091,                   0,             0.95788,             0.92351,             0.96105,             0.50916,            0.041398,            0.015437,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.051804,            0.015466,                   0,             0.85505,             0.92893,             0.93785,             0.42375,            0.042689,            0.015412,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.048146,            0.017797,                   0,              0.9119,             0.94924,             0.95555,             0.54522,            0.037888,            0.015544,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.043547,             0.01778,                   0,             0.92156,             0.95424,             0.96215,             0.58522,            0.035739,            0.015743,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.043772,            0.016807,                   0,             0.95886,             0.94924,             0.96966,             0.49382,            0.041399,            0.016002,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.046757,            0.018622,                   0,             0.95874,             0.94352,             0.96755,             0.51723,             0.03614,            0.016035,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.039813,            0.015481,                   0,             0.94569,             0.97462,             0.97663,             0.55268,            0.032981,            0.016028,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.041854,            0.016862,                   0,             0.97348,             0.93401,             0.97009,             0.49526,            0.037359,            0.016398,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.041936,            0.016773,                   0,             0.94108,             0.97462,             0.97568,               0.532,             0.03172,            0.016328,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.034688,            0.015303,                   0,             0.95025,             0.96948,             0.97498,             0.55696,            0.029884,            0.016281,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.038732,            0.016918,                   0,             0.96908,             0.95939,             0.97783,             0.55014,            0.030081,            0.015972,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.04027,             0.01744,                   0,               0.955,             0.96948,             0.96966,             0.53383,            0.035523,             0.01591,                   0,            0.007228,            0.007228,            0.007228
                  86,              0.0406,            0.014833,                   0,             0.97915,             0.95939,                0.98,             0.52162,            0.030921,            0.015884,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.039647,            0.017007,                   0,             0.74676,             0.88315,              0.7804,             0.32041,            0.038335,            0.016086,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.04944,            0.016546,                   0,             0.78935,             0.91301,             0.91125,              0.4049,            0.038124,            0.015941,                   0,            0.007129,            0.007129,            0.007129
