               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04664,            0.075297,            0.019311,             0.81431,             0.58909,             0.71575,             0.47023,            0.039754,            0.038872,           0.0092016,              0.0015,              0.0015,              0.0865
                   1,            0.044958,            0.068096,            0.017016,             0.72203,             0.67071,             0.72873,             0.47938,            0.039794,            0.038644,            0.008259,           0.0030898,           0.0030898,             0.07209
                   2,            0.046598,            0.061969,            0.017765,             0.75119,             0.63358,             0.73603,             0.43352,            0.043805,            0.038374,           0.0074368,            0.004669,            0.004669,            0.057669
                   3,            0.046506,            0.063626,            0.017583,             0.68278,             0.64534,             0.69125,               0.404,            0.047844,            0.037582,            0.007087,           0.0062376,           0.0062376,            0.043238
                   4,            0.054796,            0.056257,            0.015702,             0.54735,             0.66764,             0.64206,             0.34536,            0.052447,            0.037288,           0.0067631,           0.0077957,           0.0077957,            0.028796
                   5,            0.053306,            0.061176,            0.014406,             0.56495,              0.6403,             0.62683,             0.33526,            0.053948,            0.038802,           0.0076086,           0.0093433,           0.0093433,            0.014343
                   6,              0.0522,            0.061366,            0.013925,             0.68156,             0.56947,             0.64359,             0.33998,            0.051637,            0.039377,           0.0078494,            0.009802,            0.009802,            0.009802
                   7,            0.051704,            0.060517,            0.014824,             0.73467,             0.53598,             0.65482,             0.35041,            0.052913,            0.038505,           0.0086135,            0.009802,            0.009802,            0.009802
                   8,            0.051356,            0.059679,            0.015032,             0.69226,             0.72215,             0.75983,              0.4452,            0.046783,            0.036054,           0.0069406,            0.009769,            0.009769,            0.009769
                   9,            0.049592,            0.060284,            0.013525,             0.68749,             0.59525,             0.66723,             0.37082,            0.049488,            0.040781,            0.011404,            0.009736,            0.009736,            0.009736
                  10,            0.049025,            0.061259,            0.015848,              0.7688,             0.69914,             0.77357,             0.44896,            0.044936,            0.035472,           0.0074516,            0.009703,            0.009703,            0.009703
                  11,            0.046058,            0.053961,            0.016246,             0.73388,              0.6751,             0.73619,             0.41181,            0.047973,            0.036344,           0.0076777,             0.00967,             0.00967,             0.00967
                  12,            0.048855,            0.059233,            0.014479,             0.77522,             0.66344,             0.75612,             0.41231,            0.046216,            0.035542,           0.0069127,            0.009637,            0.009637,            0.009637
                  13,            0.047598,            0.056779,            0.014625,             0.75099,             0.69315,             0.78022,             0.44504,            0.045508,            0.035786,           0.0068372,            0.009604,            0.009604,            0.009604
                  14,            0.048179,            0.057066,            0.015014,             0.70151,             0.73491,             0.77831,             0.44968,            0.044782,            0.035254,           0.0068543,            0.009571,            0.009571,            0.009571
                  15,            0.044986,            0.054137,            0.013677,             0.69819,              0.6331,             0.71724,             0.39383,            0.046364,            0.037618,           0.0089002,            0.009538,            0.009538,            0.009538
                  16,            0.047704,            0.062108,            0.012594,             0.72524,             0.69753,             0.75696,             0.41724,            0.046218,            0.035883,           0.0071162,            0.009505,            0.009505,            0.009505
                  17,            0.048464,             0.05844,            0.013485,              0.6916,             0.67733,              0.7435,             0.39321,            0.048026,            0.037049,           0.0070761,            0.009472,            0.009472,            0.009472
                  18,            0.048947,            0.055307,            0.013353,              0.6889,             0.76138,               0.794,             0.45083,            0.045227,            0.035347,           0.0057979,            0.009439,            0.009439,            0.009439
                  19,            0.048275,            0.054445,            0.013572,             0.66358,             0.76567,              0.7853,              0.4256,            0.047048,             0.03533,           0.0059995,            0.009406,            0.009406,            0.009406
                  20,            0.049593,            0.058237,            0.012787,             0.74779,             0.69443,             0.80368,             0.44406,            0.044918,            0.036755,           0.0064165,            0.009373,            0.009373,            0.009373
                  21,            0.048768,            0.055331,            0.013204,             0.73692,             0.72788,             0.78359,             0.43066,            0.045529,            0.035356,           0.0058087,             0.00934,             0.00934,             0.00934
                  22,            0.049274,            0.057418,            0.014299,             0.67279,             0.74895,             0.76992,             0.44033,            0.045719,            0.034177,           0.0061103,            0.009307,            0.009307,            0.009307
                  23,            0.050377,            0.055689,             0.01172,             0.64132,             0.75456,             0.76773,             0.39265,            0.049722,            0.033758,           0.0056693,            0.009274,            0.009274,            0.009274
                  24,             0.04932,            0.048459,            0.013097,             0.68995,             0.78365,              0.8117,             0.44684,            0.045844,            0.032967,           0.0057323,            0.009241,            0.009241,            0.009241
                  25,            0.051567,            0.052652,            0.011583,             0.69489,             0.74378,             0.78577,             0.42613,            0.048284,            0.034177,           0.0057178,            0.009208,            0.009208,            0.009208
                  26,            0.046864,            0.055619,            0.012559,             0.73774,             0.79096,             0.81732,              0.4829,            0.043372,            0.033702,           0.0054535,            0.009175,            0.009175,            0.009175
                  27,            0.047425,            0.048636,             0.01281,             0.72089,             0.75374,             0.78917,             0.45996,            0.044726,            0.033206,           0.0056741,            0.009142,            0.009142,            0.009142
                  28,            0.046671,            0.049137,            0.011721,             0.75211,             0.74517,             0.79833,              0.4582,            0.042811,            0.033874,           0.0061607,            0.009109,            0.009109,            0.009109
                  29,            0.046302,            0.053026,            0.011618,             0.74422,             0.76716,             0.81274,              0.4678,            0.046232,            0.033439,           0.0053995,            0.009076,            0.009076,            0.009076
                  30,            0.047103,             0.05455,            0.010295,             0.77071,             0.79716,             0.82686,             0.48826,            0.041526,            0.032442,            0.005534,            0.009043,            0.009043,            0.009043
                  31,            0.046045,            0.053304,            0.011613,             0.78615,             0.74836,             0.82037,             0.48403,            0.044178,            0.031514,            0.005013,             0.00901,             0.00901,             0.00901
                  32,            0.045291,            0.048684,            0.011027,             0.80361,             0.76983,             0.85018,             0.50502,            0.040334,            0.031341,           0.0049711,            0.008977,            0.008977,            0.008977
                  33,            0.043901,             0.04662,            0.010879,             0.80619,             0.77335,               0.853,             0.50005,            0.040113,            0.031209,           0.0051429,            0.008944,            0.008944,            0.008944
                  34,            0.043338,            0.051185,           0.0098939,             0.81213,             0.76916,             0.84411,               0.489,            0.040296,            0.031228,           0.0048884,            0.008911,            0.008911,            0.008911
                  35,            0.044224,            0.049328,            0.010269,             0.79815,             0.79779,              0.8532,             0.50404,            0.040373,            0.030915,           0.0048404,            0.008878,            0.008878,            0.008878
                  36,            0.044625,             0.05057,             0.01044,             0.76614,             0.83949,             0.85227,             0.51073,            0.040735,            0.030727,           0.0046556,            0.008845,            0.008845,            0.008845
                  37,             0.04335,            0.050629,            0.009735,             0.71771,             0.83521,             0.84092,              0.4931,            0.041818,            0.030474,           0.0045458,            0.008812,            0.008812,            0.008812
                  38,            0.045328,            0.052601,           0.0095957,             0.83601,             0.76738,             0.85354,             0.50453,            0.041638,            0.030793,           0.0044527,            0.008779,            0.008779,            0.008779
                  39,             0.04491,            0.053986,           0.0084958,             0.78287,             0.78515,             0.84696,             0.48822,            0.041289,            0.030285,           0.0044215,            0.008746,            0.008746,            0.008746
                  40,            0.044019,            0.048311,           0.0087324,             0.80184,             0.78306,              0.8502,             0.48395,            0.041266,            0.029932,           0.0044312,            0.008713,            0.008713,            0.008713
